"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NPENSION","MEN","PC_PRERETEARN","A","2014",58,
"AUS","NPENSION","MEN","PC_PRERETEARN","A","2016",42.6,
"AUT","NPENSION","MEN","PC_PRERETEARN","A","2014",91.6,
"AUT","NPENSION","MEN","PC_PRERETEARN","A","2016",91.8,
"BEL","NPENSION","MEN","PC_PRERETEARN","A","2014",60.9,
"BEL","NPENSION","MEN","PC_PRERETEARN","A","2016",66.1,
"CAN","NPENSION","MEN","PC_PRERETEARN","A","2014",47.9,
"CAN","NPENSION","MEN","PC_PRERETEARN","A","2016",53.4,
"CZE","NPENSION","MEN","PC_PRERETEARN","A","2014",63.8,
"CZE","NPENSION","MEN","PC_PRERETEARN","A","2016",60,
"DNK","NPENSION","MEN","PC_PRERETEARN","A","2014",66.4,
"DNK","NPENSION","MEN","PC_PRERETEARN","A","2016",80.2,
"FIN","NPENSION","MEN","PC_PRERETEARN","A","2014",63.5,
"FIN","NPENSION","MEN","PC_PRERETEARN","A","2016",65,
"FRA","NPENSION","MEN","PC_PRERETEARN","A","2014",67.7,
"FRA","NPENSION","MEN","PC_PRERETEARN","A","2016",74.5,
"DEU","NPENSION","MEN","PC_PRERETEARN","A","2014",50,
"DEU","NPENSION","MEN","PC_PRERETEARN","A","2016",50.5,
"GRC","NPENSION","MEN","PC_PRERETEARN","A","2014",72.9,
"GRC","NPENSION","MEN","PC_PRERETEARN","A","2016",53.7,
"HUN","NPENSION","MEN","PC_PRERETEARN","A","2014",89.6,
"HUN","NPENSION","MEN","PC_PRERETEARN","A","2016",89.6,
"ISL","NPENSION","MEN","PC_PRERETEARN","A","2014",76.7,
"ISL","NPENSION","MEN","PC_PRERETEARN","A","2016",75.7,
"IRL","NPENSION","MEN","PC_PRERETEARN","A","2014",42.2,
"IRL","NPENSION","MEN","PC_PRERETEARN","A","2016",42.3,
"ITA","NPENSION","MEN","PC_PRERETEARN","A","2014",79.7,
"ITA","NPENSION","MEN","PC_PRERETEARN","A","2016",93.2,
"JPN","NPENSION","MEN","PC_PRERETEARN","A","2014",40.4,
"JPN","NPENSION","MEN","PC_PRERETEARN","A","2016",40,
"KOR","NPENSION","MEN","PC_PRERETEARN","A","2014",45,
"KOR","NPENSION","MEN","PC_PRERETEARN","A","2016",45.1,
"LUX","NPENSION","MEN","PC_PRERETEARN","A","2014",88.6,
"LUX","NPENSION","MEN","PC_PRERETEARN","A","2016",88.4,
