"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_GDP","A","1965",7.103,
"AUS","TAXINCOME","TOT","PC_GDP","A","1966",7.079,
"AUS","TAXINCOME","TOT","PC_GDP","A","1967",7.459,
"AUS","TAXINCOME","TOT","PC_GDP","A","1968",7.27,
"AUS","TAXINCOME","TOT","PC_GDP","A","1969",7.749,
"AUS","TAXINCOME","TOT","PC_GDP","A","1970",7.878,
"AUS","TAXINCOME","TOT","PC_GDP","A","1971",8.466,
"AUS","TAXINCOME","TOT","PC_GDP","A","1972",8.212,
"AUS","TAXINCOME","TOT","PC_GDP","A","1973",9.103,
"AUS","TAXINCOME","TOT","PC_GDP","A","1974",10.836,
"AUS","TAXINCOME","TOT","PC_GDP","A","1975",11.072,
"AUS","TAXINCOME","TOT","PC_GDP","A","1976",11.501,
"AUS","TAXINCOME","TOT","PC_GDP","A","1977",11.553,
"AUS","TAXINCOME","TOT","PC_GDP","A","1978",10.789,
"AUS","TAXINCOME","TOT","PC_GDP","A","1979",11.186,
"AUS","TAXINCOME","TOT","PC_GDP","A","1980",11.526,
"AUS","TAXINCOME","TOT","PC_GDP","A","1981",12.078,
"AUS","TAXINCOME","TOT","PC_GDP","A","1982",12.132,
"AUS","TAXINCOME","TOT","PC_GDP","A","1983",11.565,
"AUS","TAXINCOME","TOT","PC_GDP","A","1984",12.454,
"AUS","TAXINCOME","TOT","PC_GDP","A","1985",12.559,
"AUS","TAXINCOME","TOT","PC_GDP","A","1986",13.302,
"AUS","TAXINCOME","TOT","PC_GDP","A","1987",12.906,
"AUS","TAXINCOME","TOT","PC_GDP","A","1988",12.903,
"AUS","TAXINCOME","TOT","PC_GDP","A","1989",12.349,
"AUS","TAXINCOME","TOT","PC_GDP","A","1990",12.077,
"AUS","TAXINCOME","TOT","PC_GDP","A","1991",11.086,
"AUS","TAXINCOME","TOT","PC_GDP","A","1992",10.72,
"AUS","TAXINCOME","TOT","PC_GDP","A","1993",11.011,
"AUS","TAXINCOME","TOT","PC_GDP","A","1994",11.047,
"AUS","TAXINCOME","TOT","PC_GDP","A","1995",11.486,
"AUS","TAXINCOME","TOT","PC_GDP","A","1996",11.936,
"AUS","TAXINCOME","TOT","PC_GDP","A","1997",12.036,
"AUS","TAXINCOME","TOT","PC_GDP","A","1998",13.077,
"AUS","TAXINCOME","TOT","PC_GDP","A","1999",13.24,
"AUS","TAXINCOME","TOT","PC_GDP","A","2000",11.492,
"AUS","TAXINCOME","TOT","PC_GDP","A","2001",11.919,
"AUS","TAXINCOME","TOT","PC_GDP","A","2002",11.787,
"AUS","TAXINCOME","TOT","PC_GDP","A","2003",11.918,
"AUS","TAXINCOME","TOT","PC_GDP","A","2004",12.163,
"AUS","TAXINCOME","TOT","PC_GDP","A","2005",11.875,
"AUS","TAXINCOME","TOT","PC_GDP","A","2006",10.973,
"AUS","TAXINCOME","TOT","PC_GDP","A","2007",10.852,
"AUS","TAXINCOME","TOT","PC_GDP","A","2008",10.116,
"AUS","TAXINCOME","TOT","PC_GDP","A","2009",9.595,
"AUS","TAXINCOME","TOT","PC_GDP","A","2010",9.77,
"AUS","TAXINCOME","TOT","PC_GDP","A","2011",10.214,
"AUS","TAXINCOME","TOT","PC_GDP","A","2012",10.588,
"AUS","TAXINCOME","TOT","PC_GDP","A","2013",10.651,
"AUS","TAXINCOME","TOT","PC_GDP","A","2014",11.288,
"AUS","TAXINCOME","TOT","PC_GDP","A","2015",11.554,
"AUS","TAXINCOME","TOT","PC_GDP","A","2016",11.314,
"AUT","TAXINCOME","TOT","PC_GDP","A","1965",6.693,
"AUT","TAXINCOME","TOT","PC_GDP","A","1966",7.091,
"AUT","TAXINCOME","TOT","PC_GDP","A","1967",7.195,
"AUT","TAXINCOME","TOT","PC_GDP","A","1968",6.647,
"AUT","TAXINCOME","TOT","PC_GDP","A","1969",6.885,
"AUT","TAXINCOME","TOT","PC_GDP","A","1970",6.938,
"AUT","TAXINCOME","TOT","PC_GDP","A","1971",7.212,
"AUT","TAXINCOME","TOT","PC_GDP","A","1972",7.702,
"AUT","TAXINCOME","TOT","PC_GDP","A","1973",7.898,
