"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2001","2001",,,"0","Units",,,310,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,1.6,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2001","2001",,,"0","Units",,,139894,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2001","2001",,,"0","Units",,,725.8,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2002","2002",,,"0","Units",,,318,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,1.6,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2002","2002",,,"0","Units",,,113460,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2002","2002",,,"0","Units",,,582,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2003","2003",,,"0","Units",,,302,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,1.5,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2003","2003",,,"0","Units",,,98298,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2003","2003",,,"0","Units",,,498.4,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2004","2004",,,"0","Units",,,263,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,1.3,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2004","2004",,,"0","Units",,,87939,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2004","2004",,,"0","Units",,,441.2,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2005","2005",,,"0","Units",,,259,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,1.3,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2005","2005",,,"0","Units",,,80365,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2005","2005",,,"0","Units",,,398.3,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2006","2006",,,"0","Units",,,282,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,1.4,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2006","2006",,,"0","Units",,,75377,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2006","2006",,,"0","Units",,,368.6,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2007","2007",,,"0","Units",,,256,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2007","2007",,,"0","Units",,,1.2,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2007","2007",,,"0","Units",,,70614,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2007","2007",,,"0","Units",,,339,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2008","2008",,,"0","Units",,,261,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2008","2008",,,"0","Units",,,1.2,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2008","2008",,,"0","Units",,,68265,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2008","2008",,,"0","Units",,,321.3,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2009","2009",,,"0","Units",,,263,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2009","2009",,,"0","Units",,,1.2,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2009","2009",,,"0","Units",,,59649,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2009","2009",,,"0","Units",,,275,,
"1","Country","AUS","Australia","MORT_TRANSP_RA","Mortality rate due to transport accident (deaths for  100 000 population)","ALL","All regions","2010","2010",,,"0","Units",,,7.2,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2010","2010",,,"0","Units",,,225,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2010","2010",,,"0","Units",,,1,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2010","2010",,,"0","Units",,,54814,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2010","2010",,,"0","Units",,,248.8,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2011","2011",,,"0","Units",,,239,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2011","2011",,,"0","Units",,,1.1,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2011","2011",,,"0","Units",,,56078,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2011","2011",,,"0","Units",,,251,,
"1","Country","AUS","Australia","HOMIC","Intentional Homicides (number)","ALL","All regions","2012","2012",,,"0","Units",,,243,,
"1","Country","AUS","Australia","HOMIC_RA","Intentional Homicide Rate (homicides for 100 000 population)","ALL","All regions","2012","2012",,,"0","Units",,,1.1,,
"1","Country","AUS","Australia","VEH_THEFT","Motor Vehicle Theft Rate (number)","ALL","All regions","2012","2012",,,"0","Units",,,58552,,
"1","Country","AUS","Australia","VEH_THEFT_RA","Motor Vehicle Theft Rate (vehicule theft for 10 000 population)","ALL","All regions","2012","2012",,,"0","Units",,,257.6,,
