"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GPENSION","MEN","PC_PRERETEARN","A","2014",44.5,
"AUS","GPENSION","MEN","PC_PRERETEARN","A","2016",32.2,
"AUT","GPENSION","MEN","PC_PRERETEARN","A","2014",78.1,
"AUT","GPENSION","MEN","PC_PRERETEARN","A","2016",78.4,
"BEL","GPENSION","MEN","PC_PRERETEARN","A","2014",46.6,
"BEL","GPENSION","MEN","PC_PRERETEARN","A","2016",46.7,
"CAN","GPENSION","MEN","PC_PRERETEARN","A","2014",36.7,
"CAN","GPENSION","MEN","PC_PRERETEARN","A","2016",41,
"CZE","GPENSION","MEN","PC_PRERETEARN","A","2014",49,
"CZE","GPENSION","MEN","PC_PRERETEARN","A","2016",45.8,
"DNK","GPENSION","MEN","PC_PRERETEARN","A","2014",67.8,
"DNK","GPENSION","MEN","PC_PRERETEARN","A","2016",86.4,
"FIN","GPENSION","MEN","PC_PRERETEARN","A","2014",55.8,
"FIN","GPENSION","MEN","PC_PRERETEARN","A","2016",56.6,
"FRA","GPENSION","MEN","PC_PRERETEARN","A","2014",55.4,
"FRA","GPENSION","MEN","PC_PRERETEARN","A","2016",60.5,
"DEU","GPENSION","MEN","PC_PRERETEARN","A","2014",37.5,
"DEU","GPENSION","MEN","PC_PRERETEARN","A","2016",38.2,
"GRC","GPENSION","MEN","PC_PRERETEARN","A","2014",66.7,
"GRC","GPENSION","MEN","PC_PRERETEARN","A","2016",53.7,
"HUN","GPENSION","MEN","PC_PRERETEARN","A","2014",58.7,
"HUN","GPENSION","MEN","PC_PRERETEARN","A","2016",58.7,
"ISL","GPENSION","MEN","PC_PRERETEARN","A","2014",69.2,
"ISL","GPENSION","MEN","PC_PRERETEARN","A","2016",69,
"IRL","GPENSION","MEN","PC_PRERETEARN","A","2014",34.7,
"IRL","GPENSION","MEN","PC_PRERETEARN","A","2016",34.1,
"ITA","GPENSION","MEN","PC_PRERETEARN","A","2014",69.5,
"ITA","GPENSION","MEN","PC_PRERETEARN","A","2016",83.1,
"JPN","GPENSION","MEN","PC_PRERETEARN","A","2014",35.1,
"JPN","GPENSION","MEN","PC_PRERETEARN","A","2016",34.6,
"KOR","GPENSION","MEN","PC_PRERETEARN","A","2014",39.3,
"KOR","GPENSION","MEN","PC_PRERETEARN","A","2016",39.3,
"LUX","GPENSION","MEN","PC_PRERETEARN","A","2014",76.8,
"LUX","GPENSION","MEN","PC_PRERETEARN","A","2016",76.7,
"MEX","GPENSION","MEN","PC_PRERETEARN","A","2014",25.5,
"MEX","GPENSION","MEN","PC_PRERETEARN","A","2016",26.4,
"NLD","GPENSION","MEN","PC_PRERETEARN","A","2014",90.5,
"NLD","GPENSION","MEN","PC_PRERETEARN","A","2016",96.9,
"NZL","GPENSION","MEN","PC_PRERETEARN","A","2014",40.1,
"NZL","GPENSION","MEN","PC_PRERETEARN","A","2016",40,
"NOR","GPENSION","MEN","PC_PRERETEARN","A","2014",49.8,
"NOR","GPENSION","MEN","PC_PRERETEARN","A","2016",45.1,
"POL","GPENSION","MEN","PC_PRERETEARN","A","2014",43.1,
"POL","GPENSION","MEN","PC_PRERETEARN","A","2016",31.6,
"PRT","GPENSION","MEN","PC_PRERETEARN","A","2014",73.8,
"PRT","GPENSION","MEN","PC_PRERETEARN","A","2016",74,
"SVK","GPENSION","MEN","PC_PRERETEARN","A","2014",62.1,
"SVK","GPENSION","MEN","PC_PRERETEARN","A","2016",64.3,
"ESP","GPENSION","MEN","PC_PRERETEARN","A","2014",82.1,
"ESP","GPENSION","MEN","PC_PRERETEARN","A","2016",72.3,
"SWE","GPENSION","MEN","PC_PRERETEARN","A","2014",56,
"SWE","GPENSION","MEN","PC_PRERETEARN","A","2016",55.8,
